"id","address","latitude","longitude"
54,"1500 N SCHRADER BLVD",34.099569,-118.332402
55,"1500 N CASSIL PL",34.098993,-118.333724
56,"1500 N CASSIL PL",34.098834,-118.333722
57,"1500 N CASSIL PL",34.098782,-118.333722
58,"1500 N CASSIL PL",34.099127,-118.333726
59,"1500 N CASSIL PL",34.099218,-118.333726
60,"1500 N CASSIL PL",34.099045,-118.333725
61,"6900 W SUNSET BLVD",34.097871,-118.340976
62,"6900 W SUNSET BLVD",34.097871,-118.340884
63,"6900 W SUNSET BLVD",34.097871,-118.340817
64,"6900 W SUNSET BLVD",34.097871,-118.34113
65,"6900 W SUNSET BLVD",34.097871,-118.341066
66,"1401 N WILCOX AVE",34.096446,-118.331091
67,"1401 N WILCOX AVE",34.096803,-118.331093
68,"1401 N WILCOX AVE",34.096931,-118.331093
69,"1401 N WILCOX AVE",34.096519,-118.331092
70,"1401 N WILCOX AVE",34.096651,-118.331095
71,"1401 N WILCOX AVE",34.096875,-118.331093
72,"1401 N WILCOX AVE",34.096392,-118.331091
73,"1401 N WILCOX AVE",34.096573,-118.331092
74,"7000 W SANTA MONICA BLVD",34.090621,-118.342486
75,"7000 W SANTA MONICA BLVD",34.090622,-118.342261
76,"7000 W SANTA MONICA BLVD",34.090622,-118.342571
77,"1101 N ORANGE DR",34.091025,-118.341682
78,"1101 N ORANGE DR",34.091081,-118.341682
79,"1101 N ORANGE DR",34.091229,-118.341682
80,"1101 N ORANGE DR",34.090891,-118.341681
81,"1001 N ORANGE DR",34.090303,-118.341682
82,"1101 N MCCADDEN PL",34.091944,-118.337515
83,"1101 N MCCADDEN PL",34.091208,-118.337508
84,"1101 N MCCADDEN PL",34.091669,-118.337512
85,"1101 N MCCADDEN PL",34.091892,-118.337514
86,"1101 N MCCADDEN PL",34.092211,-118.337515
87,"1101 N MCCADDEN PL",34.09235,-118.337515
88,"1101 N MCCADDEN PL",34.091261,-118.337508
89,"1101 N MCCADDEN PL",34.091528,-118.337512
90,"1101 N MCCADDEN PL",34.091812,-118.337514
91,"1101 N MCCADDEN PL",34.09172,-118.337513
92,"1101 N MCCADDEN PL",34.092402,-118.337514
93,"1101 N MCCADDEN PL",34.091474,-118.337511
94,"1100 N MCCADDEN PL",34.092258,-118.337391
95,"1100 N MCCADDEN PL",34.091118,-118.337382
96,"1100 N MCCADDEN PL",34.091063,-118.337383
97,"1100 N MCCADDEN PL",34.091673,-118.337389
98,"1100 N MCCADDEN PL",34.091383,-118.337386
99,"1100 N MCCADDEN PL",34.092075,-118.337393
100,"1100 N MCCADDEN PL",34.091515,-118.337388
101,"1100 N MCCADDEN PL",34.090932,-118.337381
102,"1100 N MCCADDEN PL",34.091459,-118.337386
103,"1100 N MCCADDEN PL",34.091328,-118.337386
104,"1100 N MCCADDEN PL",34.091248,-118.337386
105,"1100 N MCCADDEN PL",34.091193,-118.337384
106,"1100 N MCCADDEN PL",34.091844,-118.33739
107,"6601 W SANTA MONICA BLVD",34.090811,-118.333964
108,"6601 W SANTA MONICA BLVD",34.090809,-118.335057
109,"6601 W SANTA MONICA BLVD",34.090812,-118.333666
110,"6601 W SANTA MONICA BLVD",34.09081,-118.334995
111,"6601 W SANTA MONICA BLVD",34.09081,-118.335204
112,"6601 W SANTA MONICA BLVD",34.090812,-118.334028
113,"6601 W SANTA MONICA BLVD",34.090809,-118.335141
114,"6601 W SANTA MONICA BLVD",34.090813,-118.334268
115,"6601 W SANTA MONICA BLVD",34.09081,-118.335298
116,"1101 N SEWARD ST",34.091016,-118.333257
117,"1101 N SEWARD ST",34.091066,-118.333257
118,"1500 N SCHRADER BLVD",34.098404,-118.332393
119,"1400 N ORANGE DR",34.097474,-118.341495
120,"1400 N ORANGE DR",34.097657,-118.341496
121,"1400 N ORANGE DR",34.097601,-118.341497
122,"6200 W SUNSET BLVD",34.097901,-118.325862
123,"6200 W SUNSET BLVD",34.097903,-118.325606
124,"6200 W SUNSET BLVD",34.097904,-118.325446
125,"6200 W SUNSET BLVD",34.097904,-118.325543
126,"1501 N LA BREA AVE",34.099227,-118.344609
127,"1501 N LA BREA AVE",34.099177,-118.344595
128,"1501 N LA BREA AVE",34.09885,-118.344499
129,"7100 W DE LONGPRE AVE",34.096106,-118.344397
130,"7101 W DE LONGPRE AVE",34.096207,-118.34454
131,"1300 N LA BREA AVE",34.095549,-118.343975
132,"5801 W SUNSET BLVD",34.098157,-118.317002
133,"5901 W SUNSET BLVD",34.098152,-118.318199
134,"5901 W SUNSET BLVD",34.098145,-118.319302
135,"5901 W SUNSET BLVD",34.098149,-118.318732
136,"6000 W SUNSET BLVD",34.097922,-118.321485
137,"6000 W SUNSET BLVD",34.097925,-118.321966
138,"6100 W SUNSET BLVD",34.097906,-118.322765
139,"6101 W SUNSET BLVD",34.098122,-118.322967
140,"6101 W SUNSET BLVD",34.098118,-118.323343
141,"1400 N EL CENTRO AVE",34.097605,-118.32366
142,"1501 N ARGYLE AVE",34.098473,-118.325252
143,"1401 N VINE ST",34.097167,-118.326777
144,"6301 W SUNSET BLVD",34.098095,-118.327311
145,"6300 W SUNSET BLVD",34.097893,-118.328179
146,"6300 W SUNSET BLVD",34.097893,-118.328287
147,"6300 W SUNSET BLVD",34.097892,-118.328345
148,"6300 W SUNSET BLVD",34.097892,-118.328494
149,"1501 N IVAR AVE",34.099576,-118.328382
150,"1501 N CAHUENGA BLVD",34.099325,-118.32962
151,"1400 N COLE PL",34.097604,-118.330213
152,"1400 N COLE PL",34.097383,-118.330211
153,"6401 W SUNSET BLVD",34.098094,-118.329887
154,"1500 N WILCOX AVE",34.098863,-118.330938
155,"6601 W SUNSET BLVD",34.098086,-118.333464
156,"1401 N SEWARD ST",34.097673,-118.333286
157,"6600 W SUNSET BLVD",34.097885,-118.333559
158,"6600 W SUNSET BLVD",34.097884,-118.334031
159,"6600 W SUNSET BLVD",34.097882,-118.334819
160,"1500 N LAS PALMAS AVE",34.098666,-118.336254
161,"1500 N LAS PALMAS AVE",34.099515,-118.336258
162,"1500 N HIGHLAND AVE",34.099047,-118.33855
163,"1400 N HIGHLAND AVE",34.097105,-118.338532
164,"1400 N HIGHLAND AVE",34.097234,-118.338529
165,"1300 N HIGHLAND AVE",34.094826,-118.338509
166,"1200 N HIGHLAND AVE",34.09315,-118.338497
167,"1201 N HIGHLAND AVE",34.092804,-118.338737
168,"1401 N MANSFIELD AVE",34.097444,-118.340547
169,"7001 W SUNSET BLVD",34.098072,-118.341805
170,"7001 W SUNSET BLVD",34.09807,-118.342986
171,"6700 W SUNSET BLVD",34.097879,-118.337082
172,"1400 N WILCOX AVE",34.097707,-118.330933
173,"6200 W SUNSET BLVD",34.097907,-118.324606
174,"1000 N MANSFIELD AVE",34.090396,-118.340367
175,"1001 N MCCADDEN PL",34.090314,-118.33751
176,"1001 N MCCADDEN PL",34.090366,-118.337511
177,"1001 N LAS PALMAS AVE",34.089376,-118.336349
178,"1001 N LAS PALMAS AVE",34.089556,-118.336348
179,"1001 N LAS PALMAS AVE",34.089879,-118.336353
180,"1001 N LAS PALMAS AVE",34.090287,-118.336356
181,"1001 N LAS PALMAS AVE",34.09049,-118.336356
182,"1101 N HUDSON AVE",34.090932,-118.332491
183,"1100 N HUDSON AVE",34.091073,-118.332395
184,"1100 N WILCOX AVE",34.091132,-118.330907
185,"1101 N VINE ST",34.091575,-118.32675
186,"1100 N VINE ST",34.092135,-118.326511
187,"1100 N VINE ST",34.092324,-118.326514
188,"1100 N VINE ST",34.091389,-118.326508
189,"6200 W BANNER AVE",34.091609,-118.32627
190,"6200 W BANNER AVE",34.091611,-118.325794
191,"6201 W SANTA MONICA BLVD",34.090825,-118.325841
192,"6200 W SANTA MONICA BLVD",34.090666,-118.324789
193,"6701 W SANTA MONICA BLVD",34.090799,-118.337147
194,"1301 S MAIN ST",33.989679,-118.472486
195,"7101 W DE LONGPRE AVE",34.096207,-118.344441
196,"1300 N LA BREA AVE",34.094848,-118.343972
197,"1300 N LA BREA AVE",34.095139,-118.343973
198,"1300 N LA BREA AVE",34.095192,-118.343973
199,"1300 N LA BREA AVE",34.095272,-118.343974
200,"1300 N LA BREA AVE",34.095684,-118.343977
201,"1300 N VINE ST",34.095908,-118.326531
202,"1300 N VINE ST",34.095981,-118.32653
203,"6201 W AFTON PL",34.095325,-118.326283
204,"6200 W AFTON PL",34.095231,-118.326322
205,"1200 N VINE ST",34.093703,-118.326518
206,"1200 N VINE ST",34.093835,-118.326519
207,"1401 N VINE ST",34.096644,-118.326775
208,"1001 N ORANGE DR",34.090432,-118.341682
209,"1001 N MCCADDEN PL",34.090444,-118.33751
210,"1001 N LAS PALMAS AVE",34.089301,-118.336349
211,"1100 N LAS PALMAS AVE",34.090998,-118.336213
212,"6600 W SANTA MONICA BLVD",34.090635,-118.335099
213,"1100 N SEWARD ST",34.091001,-118.33311
214,"1101 N VINE ST",34.092136,-118.326753
215,"1101 N VINE ST",34.091395,-118.326751
216,"1100 N VINE ST",34.091992,-118.326512
217,"1100 N VINE ST",34.092382,-118.326515
218,"1100 N VINE ST",34.091315,-118.326507
219,"1100 N VINE ST",34.090964,-118.326508
220,"1100 N VINE ST",34.091152,-118.326508
221,"6200 W BANNER AVE",34.09161,-118.325555
222,"6200 W BANNER AVE",34.091611,-118.325387
223,"6200 W SANTA MONICA BLVD",34.090662,-118.325621
224,"1000 N LILLIAN WAY",34.090288,-118.327675
225,"5900 W SUNSET BLVD",34.097947,-118.318494
226,"5901 W SUNSET BLVD",34.09815,-118.318427
227,"6001 W SUNSET BLVD",34.09813,-118.321412
228,"6101 W SUNSET BLVD",34.098123,-118.322717
229,"6101 W SUNSET BLVD",34.098119,-118.323276
230,"6101 W SUNSET BLVD",34.098123,-118.322805
231,"6201 W SUNSET BLVD",34.098115,-118.324005
232,"6201 W SUNSET BLVD",34.098114,-118.324389
233,"1501 N ARGYLE AVE",34.098671,-118.325255
234,"1300 N VINE ST",34.095778,-118.326528
235,"1300 N VINE ST",34.095854,-118.326528
236,"1300 N VINE ST",34.094767,-118.326523
237,"1200 N VINE ST",34.09389,-118.326519
238,"6301 W SUNSET BLVD",34.098095,-118.327466
239,"6300 W SUNSET BLVD",34.097894,-118.327356
240,"6300 W SUNSET BLVD",34.097894,-118.327987
241,"1501 N CAHUENGA BLVD",34.099413,-118.329621
242,"1400 N CAHUENGA BLVD",34.096924,-118.329408
243,"1401 N COLE PL",34.09672,-118.330355
244,"1401 N COLE PL",34.096941,-118.330357
245,"1400 N COLE PL",34.09719,-118.330209
246,"1501 N WILCOX AVE",34.098392,-118.331105
247,"1500 N WILCOX AVE",34.098729,-118.330935
248,"6601 W SUNSET BLVD",34.098087,-118.333396
249,"6600 W SUNSET BLVD",34.097884,-118.334585
250,"6601 W SUNSET BLVD",34.098083,-118.334526
251,"1500 N LAS PALMAS AVE",34.099249,-118.336253
252,"1500 N LAS PALMAS AVE",34.09912,-118.336253
253,"1400 N HIGHLAND AVE",34.097309,-118.338532
254,"1300 N HIGHLAND AVE",34.095656,-118.338515
255,"1200 N HIGHLAND AVE",34.093335,-118.338498
256,"1200 N HIGHLAND AVE",34.093012,-118.338496
257,"6800 W LEXINGTON AVE",34.092523,-118.339075
258,"6800 W SUNSET BLVD",34.097872,-118.340204
259,"6800 W SUNSET BLVD",34.097874,-118.339638
260,"1400 N MANSFIELD AVE",34.097477,-118.340423
261,"7000 W SUNSET BLVD",34.097869,-118.342243
262,"7001 W SUNSET BLVD",34.098069,-118.343208
263,"1501 N SCHRADER BLVD",34.09837,-118.33253
264,"1400 N WILCOX AVE",34.09674,-118.330931
265,"6200 W SUNSET BLVD",34.097908,-118.324685
266,"6200 W SUNSET BLVD",34.097909,-118.324526
267,"1501 N SCHRADER BLVD",34.098557,-118.332531
268,"1000 N LAS PALMAS AVE",34.089174,-118.336203
269,"1001 N LAS PALMAS AVE",34.089174,-118.336348
270,"1100 N VINE ST",34.091809,-118.326513
271,"1100 N VINE ST",34.091859,-118.326513
272,"6200 W BANNER AVE",34.091608,-118.326335
273,"1501 N LA BREA AVE",34.098769,-118.344475
274,"1300 N LA BREA AVE",34.094923,-118.343972
275,"5901 W SUNSET BLVD",34.098146,-118.318981
276,"6000 W SUNSET BLVD",34.097926,-118.321734
277,"1400 N GOWER ST",34.096994,-118.322207
278,"6100 W SUNSET BLVD",34.097907,-118.322922
279,"1401 N EL CENTRO AVE",34.097394,-118.323782
280,"1400 N EL CENTRO AVE",34.097402,-118.32366
281,"6201 W SUNSET BLVD",34.098115,-118.324323
282,"6201 W SUNSET BLVD",34.098116,-118.324071
283,"1501 N ARGYLE AVE",34.098729,-118.325254
284,"1400 N VINE ST",34.096592,-118.326533
285,"1400 N VINE ST",34.096643,-118.326532
286,"6200 W AFTON PL",34.095232,-118.326254
287,"1300 N VINE ST",34.094637,-118.326524
288,"1301 N VINE ST",34.095692,-118.326769
289,"1301 N VINE ST",34.095563,-118.326768
290,"1401 N VINE ST",34.097222,-118.326776
291,"6301 W SUNSET BLVD",34.098095,-118.327379
292,"6300 W SUNSET BLVD",34.097896,-118.32713
293,"6300 W SUNSET BLVD",34.097893,-118.327505
294,"6300 W SUNSET BLVD",34.097895,-118.328119
295,"1401 N CAHUENGA BLVD",34.096639,-118.3296
296,"1401 N COLE PL",34.097126,-118.330358
297,"1401 N COLE PL",34.097486,-118.330359
298,"1401 N COLE PL",34.097612,-118.330361
299,"1400 N COLE PL",34.097684,-118.330215
300,"1501 N WILCOX AVE",34.098625,-118.331107
301,"1501 N WILCOX AVE",34.09957,-118.331114
302,"6500 W SUNSET BLVD",34.097888,-118.331808
303,"1501 N SCHRADER BLVD",34.098754,-118.332532
304,"1501 N SCHRADER BLVD",34.099381,-118.332537
305,"1401 N SEWARD ST",34.097468,-118.333283
306,"1401 N SEWARD ST",34.097537,-118.333284
307,"6600 W SUNSET BLVD",34.097882,-118.334435
308,"6600 W SUNSET BLVD",34.097882,-118.335836
309,"1500 N LAS PALMAS AVE",34.099388,-118.336255
310,"1500 N LAS PALMAS AVE",34.098968,-118.336253
311,"1501 N LAS PALMAS AVE",34.098208,-118.336378
312,"1500 N HIGHLAND AVE",34.099312,-118.338555
313,"1500 N HIGHLAND AVE",34.098657,-118.338546
314,"1500 N HIGHLAND AVE",34.099258,-118.338553
315,"1200 N HIGHLAND AVE",34.093721,-118.338502
316,"1200 N HIGHLAND AVE",34.093776,-118.338501
317,"1200 N HIGHLAND AVE",34.093073,-118.338497
318,"6700 W LEXINGTON AVE",34.092531,-118.338193
319,"6801 W LEXINGTON AVE",34.092632,-118.33898
320,"1201 N HIGHLAND AVE",34.092859,-118.338736
321,"1301 N HIGHLAND AVE",34.095331,-118.338754
322,"1301 N HIGHLAND AVE",34.094779,-118.33875
323,"1301 N HIGHLAND AVE",34.095534,-118.338755
324,"1301 N HIGHLAND AVE",34.09593,-118.338759
325,"6800 W SUNSET BLVD",34.097873,-118.339955
326,"1400 N MANSFIELD AVE",34.097688,-118.340425
327,"1400 N MANSFIELD AVE",34.097746,-118.340424
328,"1401 N MANSFIELD AVE",34.097573,-118.340549
329,"1501 N MCCADDEN PL",34.098348,-118.337619
330,"6700 W SUNSET BLVD",34.097879,-118.337381
331,"1400 N WILCOX AVE",34.097002,-118.330932
332,"1001 N MANSFIELD AVE",34.090254,-118.340511
333,"1000 N MCCADDEN PL",34.090509,-118.337368
334,"1000 N LAS PALMAS AVE",34.090211,-118.33621
335,"1001 N LAS PALMAS AVE",34.090359,-118.336355
336,"1001 N LAS PALMAS AVE",34.090413,-118.336354
337,"1100 N LAS PALMAS AVE",34.090944,-118.336212
338,"6400 W SANTA MONICA BLVD",34.090647,-118.330296
339,"6201 W SANTA MONICA BLVD",34.090827,-118.325045
340,"1500 N SCHRADER BLVD",34.098229,-118.332391
341,"1300 N LA BREA AVE",34.094716,-118.343971
342,"1300 N LA BREA AVE",34.095347,-118.343974
343,"5801 W SUNSET BLVD",34.09816,-118.316422
344,"1500 N GOWER ST",34.099075,-118.322235
345,"6100 W SUNSET BLVD",34.097904,-118.323455
346,"6101 W SUNSET BLVD",34.098123,-118.322659
347,"6201 W SUNSET BLVD",34.098113,-118.32448
348,"6201 W SUNSET BLVD",34.098109,-118.324789
349,"1300 N VINE ST",34.094948,-118.326524
350,"1200 N VINE ST",34.093757,-118.326519
351,"1200 N VINE ST",34.093068,-118.326516
352,"1200 N VINE ST",34.093374,-118.326519
353,"1301 N VINE ST",34.095486,-118.326768
354,"6300 W SUNSET BLVD",34.097893,-118.328436
355,"1501 N CAHUENGA BLVD",34.099537,-118.329619
356,"1501 N CAHUENGA BLVD",34.099467,-118.329622
357,"1400 N CAHUENGA BLVD",34.097002,-118.329409
358,"6401 W SUNSET BLVD",34.098092,-118.33031
359,"6401 W SUNSET BLVD",34.09809,-118.330468
360,"1501 N WILCOX AVE",34.099279,-118.331112
361,"1501 N WILCOX AVE",34.098337,-118.331106
362,"1500 N WILCOX AVE",34.098521,-118.330934
363,"1500 N WILCOX AVE",34.098675,-118.330935
364,"1500 N WILCOX AVE",34.099503,-118.330942
365,"6501 W SUNSET BLVD",34.098092,-118.331252
366,"6500 W SUNSET BLVD",34.097887,-118.331957
367,"6500 W SUNSET BLVD",34.097887,-118.332039
368,"1501 N SCHRADER BLVD",34.099128,-118.332536
369,"6601 W SUNSET BLVD",34.098085,-118.333556
370,"6501 W SUNSET BLVD",34.098086,-118.332818
371,"1400 N SEWARD ST",34.097704,-118.333153
372,"6600 W SUNSET BLVD",34.097883,-118.333972
373,"6601 W SUNSET BLVD",34.098083,-118.335679
374,"1500 N LAS PALMAS AVE",34.099442,-118.336255
375,"1500 N LAS PALMAS AVE",34.098483,-118.336252
376,"1500 N HIGHLAND AVE",34.098484,-118.338545
377,"1300 N HIGHLAND AVE",34.095282,-118.338512
378,"6700 W LEXINGTON AVE",34.092531,-118.337928
379,"1201 N HIGHLAND AVE",34.09344,-118.338742
380,"1301 N HIGHLAND AVE",34.094832,-118.338751
381,"1301 N HIGHLAND AVE",34.095596,-118.338756
382,"1401 N MANSFIELD AVE",34.097497,-118.340548
383,"7001 W SUNSET BLVD",34.098073,-118.341867
384,"7001 W SUNSET BLVD",34.098071,-118.343139
385,"6700 W SUNSET BLVD",34.097879,-118.337164
386,"1400 N WILCOX AVE",34.097453,-118.330934
387,"1400 N WILCOX AVE",34.09719,-118.330933
388,"1400 N WILCOX AVE",34.096605,-118.33093
389,"1400 N WILCOX AVE",34.096926,-118.330932
390,"1400 N WILCOX AVE",34.096552,-118.33093
391,"1400 N WILCOX AVE",34.09638,-118.330929
392,"1001 N MANSFIELD AVE",34.090451,-118.340513
393,"1000 N MANSFIELD AVE",34.090268,-118.340368
394,"1001 N ORANGE DR",34.09023,-118.341682
395,"1001 N MCCADDEN PL",34.090236,-118.337509
396,"1001 N LAS PALMAS AVE",34.089625,-118.336349
397,"1001 N LAS PALMAS AVE",34.090053,-118.336354
398,"1100 N LAS PALMAS AVE",34.091133,-118.336215
399,"1100 N LAS PALMAS AVE",34.091071,-118.336213
400,"1100 N SEWARD ST",34.090962,-118.33311
401,"1101 N HUDSON AVE",34.090984,-118.332491
402,"1100 N HUDSON AVE",34.09113,-118.332394
403,"6501 W SANTA MONICA BLVD",34.090813,-118.33223
404,"6501 W SANTA MONICA BLVD",34.090813,-118.332147
405,"6501 W SANTA MONICA BLVD",34.090814,-118.332293
406,"1100 N WILCOX AVE",34.090999,-118.330905
407,"1100 N WILCOX AVE",34.09134,-118.330908
408,"1100 N WILCOX AVE",34.091394,-118.330908
409,"6400 W SANTA MONICA BLVD",34.090646,-118.330697
410,"1101 N VINE ST",34.091889,-118.326751
411,"1100 N VINE ST",34.091939,-118.326511
412,"1100 N VINE ST",34.091443,-118.326508
413,"6200 W BANNER AVE",34.09161,-118.326018
414,"6200 W BANNER AVE",34.091609,-118.325947
415,"6200 W BANNER AVE",34.09161,-118.325861
416,"6201 W SANTA MONICA BLVD",34.090828,-118.324804
417,"6201 W SANTA MONICA BLVD",34.090827,-118.324971
418,"6201 W SANTA MONICA BLVD",34.090826,-118.325217
419,"6201 W SANTA MONICA BLVD",34.090826,-118.325288
420,"6201 W SANTA MONICA BLVD",34.090826,-118.325534
421,"6900 W SANTA MONICA BLVD",34.090625,-118.341183
422,"1500 N SCHRADER BLVD",34.098363,-118.332393
423,"6500 W SANTA MONICA BLVD",34.090642,-118.331852
424,"1501 N LA BREA AVE",34.099429,-118.34467
425,"1300 N LA BREA AVE",34.094782,-118.343972
426,"1300 N LA BREA AVE",34.095817,-118.343978
427,"1300 N LA BREA AVE",34.095868,-118.34398
428,"1300 N LA BREA AVE",34.095938,-118.34398
429,"5900 W SUNSET BLVD",34.09794,-118.319465
430,"1401 N VINE ST",34.097476,-118.326781
431,"1401 N VINE ST",34.097419,-118.32678
432,"1400 N COLE PL",34.096609,-118.330207
433,"1501 N SCHRADER BLVD",34.098246,-118.332529
434,"1501 N SCHRADER BLVD",34.098302,-118.332529
435,"1000 N LAS PALMAS AVE",34.089117,-118.336204
436,"1001 N LAS PALMAS AVE",34.08912,-118.336348
437,"1501 N LA BREA AVE",34.099483,-118.344686
438,"7100 W DE LONGPRE AVE",34.096106,-118.344456
439,"1400 N GOWER ST",34.097521,-118.322208
440,"1400 N GOWER ST",34.097123,-118.322208
441,"1400 N GOWER ST",34.097053,-118.322207
442,"1500 N GOWER ST",34.099122,-118.322236
443,"6100 W SUNSET BLVD",34.097904,-118.323386
444,"6100 W SUNSET BLVD",34.097904,-118.323233
445,"1401 N EL CENTRO AVE",34.097525,-118.323781
446,"6201 W SUNSET BLVD",34.098108,-118.324858
447,"1401 N VINE ST",34.096971,-118.326776
448,"1401 N CAHUENGA BLVD",34.096725,-118.329601
449,"1500 N WILCOX AVE",34.098331,-118.330932
450,"1500 N WILCOX AVE",34.098999,-118.330937
451,"1400 N HIGHLAND AVE",34.096473,-118.338522
452,"1300 N HIGHLAND AVE",34.095527,-118.338514
453,"6801 W LEXINGTON AVE",34.092632,-118.339045
454,"6801 W LEXINGTON AVE",34.092635,-118.33913
455,"6800 W SUNSET BLVD",34.097872,-118.340264
456,"7000 W SUNSET BLVD",34.097868,-118.342151
457,"7001 W SUNSET BLVD",34.09807,-118.342458
458,"7001 W SUNSET BLVD",34.098071,-118.342848
459,"7001 W SUNSET BLVD",34.09807,-118.342524
460,"1000 N MCCADDEN PL",34.090432,-118.337366
461,"1001 N LAS PALMAS AVE",34.089502,-118.336348
462,"1001 N LAS PALMAS AVE",34.09,-118.336353
463,"6500 W SANTA MONICA BLVD",34.090639,-118.332425
464,"1001 N WILCOX AVE",34.090463,-118.331059
465,"6400 W SANTA MONICA BLVD",34.090648,-118.330219
466,"6200 W SANTA MONICA BLVD",34.090663,-118.325066
467,"6900 W SANTA MONICA BLVD",34.090627,-118.340611
468,"1401 N ORANGE DR",34.097694,-118.341621
469,"6500 W SANTA MONICA BLVD",34.090641,-118.33148
470,"5801 W SUNSET BLVD",34.098155,-118.317283
471,"5901 W SUNSET BLVD",34.098146,-118.31889
472,"6001 W SUNSET BLVD",34.098137,-118.320315
473,"6000 W SUNSET BLVD",34.097933,-118.320976
474,"6000 W SUNSET BLVD",34.097933,-118.320911
475,"6000 W SUNSET BLVD",34.097933,-118.320818
476,"6000 W SUNSET BLVD",34.097933,-118.320753
477,"6000 W SUNSET BLVD",34.097933,-118.320668
478,"6001 W SUNSET BLVD",34.09813,-118.321278
479,"6201 W SUNSET BLVD",34.098111,-118.324634
480,"1200 N VINE ST",34.093313,-118.326518
481,"6301 W SUNSET BLVD",34.098095,-118.327534
482,"6301 W SUNSET BLVD",34.098096,-118.327927
483,"6301 W SUNSET BLVD",34.098096,-118.328001
484,"6301 W SUNSET BLVD",34.098096,-118.3281
485,"6301 W SUNSET BLVD",34.098096,-118.328176
486,"6301 W SUNSET BLVD",34.098095,-118.328279
487,"1500 N IVAR AVE",34.098593,-118.328661
488,"1500 N IVAR AVE",34.09901,-118.328499
489,"1500 N IVAR AVE",34.099059,-118.328473
490,"1500 N IVAR AVE",34.099138,-118.328433
491,"1500 N IVAR AVE",34.099189,-118.328407
492,"1500 N IVAR AVE",34.099265,-118.328365
493,"1500 N IVAR AVE",34.099318,-118.328338
494,"1500 N IVAR AVE",34.099392,-118.3283
495,"1500 N IVAR AVE",34.099442,-118.328272
496,"1501 N IVAR AVE",34.099455,-118.328445
497,"1501 N IVAR AVE",34.099406,-118.32847
498,"1501 N IVAR AVE",34.099338,-118.328507
499,"1501 N IVAR AVE",34.099288,-118.328532
500,"1501 N IVAR AVE",34.099186,-118.328584
501,"1501 N IVAR AVE",34.099113,-118.328624
502,"1501 N IVAR AVE",34.099069,-118.328646
503,"1501 N IVAR AVE",34.098706,-118.328818
504,"1501 N IVAR AVE",34.098654,-118.328823
